Date,Price,Open,High,Low,Vol.,Change %,Return,MA10,MA20,MA50,MA200,Volatility20,Price_lag1,Price_lag5,RSI,MACD,Signal,Year,Month,DayOfWeek
2021-10-28,145.85,147.13,147.16,144.63,36210000.0,-0.0025,-0.0025304335932156974,141.745,139.7175,140.6062,120.9067,0.01775482434259478,146.22,141.89,61.97628458498024,1.0349553040589399,0.4412371642194989,2021,10,Thursday
2021-10-29,148.05,145.08,148.24,144.65,43320000.0,0.0151,0.015083990401097092,142.41299999999998,140.29299999999998,140.8536,121.2142,0.01749321004630575,145.85,137.57,67.16754320060106,1.4860382203359848,0.6501973754427961,2021,10,Friday
2021-11-01,143.5,148.05,148.05,143.23,46920000.0,-0.030699999999999998,-0.030732860520094607,142.48499999999999,140.785,140.975,121.4998,0.01833913472821755,148.05,137.45,62.27795193312435,1.45955289012187,0.812068478378611,2021,11,Monday
2021-11-02,145.43,144.58,146.61,144.34,33479999.999999996,0.013500000000000002,0.013449477351916483,142.704,141.2555,141.08280000000002,121.78085000000002,0.018194379275147124,143.5,139.31,63.300576075906456,1.5761293078729466,0.9648806442774781,2021,11,Tuesday
2021-11-03,146.6,145.9,146.67,144.59,27490000.0,0.008,0.008045107611909463,143.18699999999998,141.707,141.1896,122.04385,0.018133246112314295,145.43,146.22,60.05164146071558,1.7428358538845146,1.1204716861988855,2021,11,Wednesday
2021-11-04,148.27,147.12,149.73,146.31,38410000.0,0.011399999999999999,0.011391541609822697,143.825,142.159,141.3134,122.31415000000001,0.018116767161649748,146.6,145.85,62.079831932773104,1.9868043915985822,1.293738227278825,2021,11,Thursday
2021-11-05,148.85,149.17,150.33,148.2,38350000.0,0.0039000000000000003,0.003911782558845278,144.953,142.612,141.4616,122.58525,0.01811655421554954,148.27,148.05,60.94482509917056,2.2015739936070418,1.4753053805444685,2021,11,Friday
2021-11-08,149.03,149.82,150.61,148.43,23050000.0,0.0012,0.0012092710782667382,146.111,143.118,141.5622,122.85685000000001,0.01798460051326099,148.85,143.5,60.54644808743167,2.359110587846061,1.6520664220047871,2021,11,Monday
2021-11-09,148.92,149.23,149.83,147.24,19530000.0,-0.0008,-0.0007381064215259414,147.072,143.74150000000003,141.6488,123.12445,0.017310254854913647,149.03,145.43,63.702568033729335,2.446877314525125,1.811028600508855,2021,11,Tuesday
2021-11-10,145.89,147.5,148.07,144.54,29970000.0,-0.0203,-0.020346494762288447,147.039,144.15699999999998,141.6726,123.39914999999999,0.018146595555293993,148.92,146.6,56.89655172413792,2.246046376002738,1.8980321556076316,2021,11,Wednesday
2021-11-11,145.77,146.49,147.54,145.6,16520000.0,-0.0009,-0.0008225375282745473,147.031,144.388,141.68359999999998,123.6647,0.017341404207869764,145.89,148.27,66.53225806451613,2.0535315794281814,1.9291320403717418,2021,11,Thursday
2021-11-12,148.68,146.62,148.85,145.41,22360000.0,0.02,0.019962955340605104,147.094,144.75349999999997,141.79139999999998,123.95125,0.01781242049356051,145.77,148.85,70.35157665820951,2.1114355812067913,1.9655927485387519,2021,11,Friday
2021-11-15,148.45,148.9,149.55,147.57,23510000.0,-0.0015,-0.0015469464622007711,147.589,145.037,141.88559999999998,124.22025,0.017750100131743017,148.68,149.03,67.60400616332814,2.1143924420736937,1.9953526872457403,2021,11,Monday
2021-11-16,147.88,148.15,148.76,147.31,18900000.0,-0.0039000000000000003,-0.003839676658807689,147.834,145.26899999999998,141.9576,124.47985,0.017796737636099024,148.45,148.92,54.23037716615697,2.0471433451224357,2.0057108188210795,2021,11,Tuesday
2021-11-17,148.05,148.03,148.56,147.24,19600000.0,0.0012,0.001149580741141465,147.97899999999998,145.583,142.0448,124.70540000000001,0.01757303617714161,147.88,145.89,55.66426364572608,1.9846872908714772,2.001506113231159,2021,11,Wednesday
2021-11-18,149.84,148.24,150.58,147.88,35630000.0,0.0121,0.012090509962850327,148.13600000000002,145.9805,142.17079999999999,124.94120000000001,0.017702948519830702,148.05,145.77,54.70804839558125,2.0559289886421084,2.0123906883133493,2021,11,Thursday
